Sym		Asym		Mode 1		Mode 2		Mode 3		Mode 4		Mode 5		Mode 6	
502  Points		543  Points		494  Points		448  Points		261  Points		257  Points		223  Points		224  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.625254	1.81498	0.576679	1.53359	1.03999	3.02285	1.23791	3.59584	1.70849	4.9614	1.84465	5.33758	2.03206	5.87668	2.052	5.95988
0.629643	1.81484	0.579229	1.53553	1.04258	3.00902	1.24465	3.58995	1.71477	4.94451	1.84733	5.3078	2.03432	5.8419	2.05389	5.9233
0.634036	1.81472	0.581106	1.53695	1.04518	2.99539	1.25137	3.58404	1.72104	4.92788	1.85007	5.2786	2.03664	5.80781	2.05583	5.88741
0.638434	1.81461	0.582307	1.53785	1.04778	2.98194	1.25804	3.5781	1.72733	4.91149	1.85287	5.24997	2.03904	5.77439	2.05785	5.8522
0.642836	1.81452	0.584033	1.53914	1.05038	2.96869	1.26467	3.57213	1.73361	4.89534	1.85572	5.22189	2.04151	5.74164	2.05992	5.81767
0.647244	1.81444	0.58591	1.54055	1.05298	2.95563	1.27126	3.56612	1.73991	4.87943	1.85864	5.19436	2.04405	5.70953	2.06207	5.78379
0.651655	1.81437	0.588464	1.54245	1.05559	2.94275	1.27781	3.56008	1.7462	4.86374	1.86161	5.16737	2.04666	5.67805	2.06428	5.75056
0.656072	1.81432	0.591694	1.54483	1.0582	2.93006	1.28432	3.55401	1.7525	4.84828	1.86465	5.14092	2.04934	5.6472	2.06656	5.71797
0.660493	1.81429	0.595602	1.5477	1.06081	2.91755	1.29078	3.54789	1.7588	4.83303	1.86775	5.115	2.0521	5.61697	2.0689	5.68601
0.66492	1.81426	0.600189	1.55103	1.06343	2.90522	1.2972	3.54173	1.76511	4.818	1.87092	5.08961	2.05493	5.58733	2.07132	5.65465
0.669351	1.81425	0.605454	1.55482	1.06605	2.89306	1.30357	3.53553	1.77142	4.80317	1.87416	5.06473	2.05784	5.55829	2.0738	5.62391
0.673787	1.81426	0.610723	1.55856	1.06868	2.88108	1.30989	3.52929	1.77773	4.78855	1.87746	5.04037	2.06082	5.52982	2.07636	5.59376
0.678228	1.81427	0.615993	1.56227	1.07131	2.86927	1.31617	3.523	1.78405	4.77413	1.88084	5.01651	2.06387	5.50193	2.07898	5.56419
0.682674	1.8143	0.621266	1.56593	1.07395	2.85763	1.3224	3.51666	1.79036	4.75989	1.88429	4.99316	2.067	5.47459	2.08168	5.5352
